gear_bin,throttle_bin,rpm_bin,torque
2,50,5250,1378.9582805524553
2,50,5500,1485.9547665083228
2,50,5750,1383.1082628738782
2,50,6000,1415.590048271313
2,50,6250,1416.054998779297
2,55,2500,376.53888363308374
2,55,2750,586.7883184597576
2,55,3000,631.0448919802296
2,55,3250,815.9278901752673
2,55,3500,937.961265246769
2,55,3750,1047.8189107960668
2,55,4000,1118.7664617934488
2,55,4250,1096.7875504927201
2,55,4500,1055.478028402163
2,55,4750,1106.624648838827
2,55,5000,1623.2048530578613
2,55,5250,1443.8999906841077
2,55,5500,1689.2829331341911
2,55,5750,1639.5669955444337
2,55,6000,1576.9032679490053
2,55,6250,1676.653836763822
2,60,2500,491.75713763918196
2,60,2750,612.9816468965023
2,60,3000,655.6744216152522
2,60,3250,767.7642548551264
2,60,3500,937.3636843363444
2,60,3750,1010.5496094226837
2,60,4000,1213.759458439831
2,60,4250,1257.657559810831
2,60,4500,1288.8532388836857
2,60,4750,1468.1041602110251
2,60,5000,1564.3220027496457
2,60,5250,1537.9706981928662
2,60,5500,1529.4126681475573
2,60,5750,1648.7716383293493
2,60,6000,1539.4999973462975
2,60,6250,1254.3374938964844
2,65,2500,-146.1999969482422
2,65,2750,617.4808174028789
2,65,3000,677.3212246175585
2,65,3250,845.667790299755
2,65,3500,1024.4961468036358
2,65,3750,1170.3111746651787
2,65,4000,1290.075964182931
2,65,4250,1417.1243780021532
2,65,4500,1439.3232205298639
2,65,4750,1547.3031769770726
2,65,5000,1619.7420601012216
2,65,5250,1669.5857151576452
2,65,5500,1717.0573690445697
2,65,5750,1895.7389051649307
2,65,6000,1488.6209404523981
2,65,6250,1787.3000081380208
2,70,2750,635.954832999937
2,70,3000,724.4267172977842
2,70,3250,813.188882333261
2,70,3500,954.4690070353763
2,70,3750,1004.741409455887
2,70,4000,1346.623802548363
2,70,4250,1341.026609359249
2,70,4500,1528.1377428067442
2,70,4750,1531.5453095436096
2,70,5000,1766.8764666389015
2,70,5250,1828.1626692708332
2,70,5500,2041.3227428089488
2,70,5750,2257.46669921875
2,75,2750,596.213330078125
2,75,3000,733.6244855608259
2,75,3250,1177.5
2,75,3500,959.7291692097982
2,75,3750,1113.8380523226153
2,75,4000,1336.1709627541163
2,75,4250,1562.173993326823
2,75,4500,1619.132947401567
2,75,4750,1467.5254953144401
2,75,5000,1681.0476569680607
2,75,5250,1917.1466715494792
2,75,5500,2242.1911908318016
2,75,5750,2368.8250122070312
2,75,6000,2497.5
2,75,6250,2465.9599609375
2,80,2750,648.2437400817871
2,80,3000,731.840737802011
2,80,3250,825.6708246866862
2,80,3500,962.3833269391741
2,80,3750,1092.2058751723346
2,80,4000,1216.9906559244791
2,80,5000,1857.8573243676162
2,80,5250,2070.4795953455105
2,80,5500,2271.830095197771
2,80,5750,2410.131984435406
2,80,6000,2445.322019042969
2,80,6250,2406.2916870117188
2,85,2750,608.2133341471355
2,85,3000,709.7318087491122
2,85,3250,784.4166564941406
2,85,5500,2429.9666341145835
2,85,6000,2420.300048828125
2,85,6250,2362.5
2,90,2750,601.7999877929688
2,90,3000,755.1124954223633
2,90,3250,825.9526270816201
2,95,2750,622.0933227539062
2,95,3000,739.0499932425363
3,0,4250,-210.45238022577195
3,0,4500,-177.17499913488115
3,0,4750,-181.4625005722046
3,0,5750,-70.85555606418185
3,5,3500,-228.40102020575077
3,5,3750,-224.13493920751364
3,5,4000,-227.37070543070112
3,5,4250,-221.96901660495334
3,5,4500,-171.46601560824774
3,5,4750,-164.7780284104925
3,5,5000,-144.141070161547
3,5,5250,-62.369564553965695
3,5,5500,78.39167022705077
3,5,5750,604.8750133514404
3,10,3500,-189.5
3,10,3750,-194.0499997820173
3,10,4000,-171.27000045776367
3,10,4500,45.194381906745136
3,10,4750,58.12202056331338
3,10,5000,40.286538069064804
3,10,5750,1375.4000244140625
3,15,3500,-102.29999923706055
3,15,3750,-65.66428593226841
3,15,4000,-77.28888787163629
3,15,4250,-57.94999885559082
3,15,4500,60.15730961582117
3,15,4750,102.35383515311418
3,15,5000,121.6317060866007
3,20,3500,-59.4636362249201
3,20,3750,-3.881249785423279
3,20,4000,10.848275349057953
3,20,4250,-23.657142911638534
3,20,4500,72.84365916175598
3,20,4750,207.8178268979851
3,20,5000,131.7999988132053
3,25,3250,29.0
3,25,3500,-108.40000041325887
3,25,3750,-58.00000068119594
3,25,4000,43.98750042915344
3,25,4500,122.64784703521453
3,25,4750,607.9797621227447
3,25,5000,176.56078458299825
3,30,3250,53.79999923706055
3,30,3500,49.657142639160156
3,30,3750,-222.4199996948242
3,30,4000,93.0170729102158
3,30,4500,162.38370276153404
3,30,4750,824.0373088779734
3,30,5000,182.42903174123455
3,30,5500,1499.699951171875
3,35,3500,109.0499979654948
3,35,4000,131.8086939272673
3,35,4500,860.9589671599559
3,35,4750,966.1394733629728
3,35,5000,436.4789500989412
3,40,3500,158.2
